RecordDateTime,ModuleName,ThreadId,FileNameAndLineNum,LogLevel,Description
10:47:55:043 , CieMyCtrl , 9000 , "LDTaskMgrAdapter.cpp : 73" , 4 , CSubTaskDB::SaveAll:C:\Users\È«ÐËÎÄ\AppData\Roaming\Lenovo\UploadPlugin\LenovoCloud\3EBEFC553141245C8B6ECE3386224A91\subtasks.db
10:47:55:043 , CieMyCtrl , 9000 , "LDTaskMgrAdapter.cpp : 73" , 4 , CLDTransMgr::AddChangedTaskId:strGroupId:{CB6F7374-4E37-454F-8798-170B61D27D9E};strTaskId:3EBEFC553141245C8B6ECE3386224A91
10:47:55:043 , CieMyCtrl , 9000 , "LDTaskMgrAdapter.cpp : 73" , 4 , AddChangedTaskId:id:3EBEFC553141245C8B6ECE3386224A91;state:StateWaiting
10:47:55:043 , CieMyCtrl , 9000 , "LDTaskMgrAdapter.cpp : 73" , 4 , CLDTransMgr::AddChangedTaskId:strGroupId:{CB6F7374-4E37-454F-8798-170B61D27D9E};strTaskId:958FA1A30BE621EF1D9EC7AFBB75726F
10:47:55:043 , CieMyCtrl , 9000 , "LDTaskMgrAdapter.cpp : 73" , 4 , AddChangedTaskId:id:958FA1A30BE621EF1D9EC7AFBB75726F;state:StateWorking
10:47:55:043 , CieMyCtrl , 9000 , "LDTaskMgrAdapter.cpp : 73" , 4 , CLDTransMgr::AddChangedTaskId:strGroupId:{CB6F7374-4E37-454F-8798-170B61D27D9E};strTaskId:958FA1A30BE621EF1D9EC7AFBB75726F
10:47:55:043 , CieMyCtrl , 9000 , "LDTaskMgrAdapter.cpp : 73" , 4 , AddChangedTaskId:id:958FA1A30BE621EF1D9EC7AFBB75726F;state:StateWorking
10:47:55:094 , CieMyCtrl , 9000 , "LDTaskMgrAdapter.cpp : 73" , 4 , CLDTransMgr::AddChangedTaskId:strGroupId:{CB6F7374-4E37-454F-8798-170B61D27D9E};strTaskId:3EBEFC553141245C8B6ECE3386224A91
10:47:55:095 , CieMyCtrl , 9000 , "LDTaskMgrAdapter.cpp : 73" , 4 , AddChangedTaskId:id:3EBEFC553141245C8B6ECE3386224A91;state:StateWorking
10:47:55:095 , CieMyCtrl , 9000 , "LDTaskMgrAdapter.cpp : 73" , 4 , CLDTransMgr::AddChangedTaskId:strGroupId:{CB6F7374-4E37-454F-8798-170B61D27D9E};strTaskId:3EBEFC553141245C8B6ECE3386224A91
10:47:55:095 , CieMyCtrl , 9000 , "LDTaskMgrAdapter.cpp : 73" , 4 , AddChangedTaskId:id:3EBEFC553141245C8B6ECE3386224A91;state:StateWorking
10:47:55:095 , CieMyCtrl , 9000 , "LDTaskMgrAdapter.cpp : 73" , 4 , CLDTransMgr::AddChangedTaskId:strGroupId:{CB6F7374-4E37-454F-8798-170B61D27D9E};strTaskId:3EBEFC553141245C8B6ECE3386224A91
10:47:55:095 , CieMyCtrl , 9000 , "LDTaskMgrAdapter.cpp : 73" , 4 , AddChangedTaskId:id:3EBEFC553141245C8B6ECE3386224A91;state:StateWorking
